"job_company","industries"
"ADARO ENERGY","Not Available"
"Sandvik","Manufacturing"
"AMAK Mining Co","Not Available"
"Talentvis","Staffing & Subcontracting"
"PT. Liebherr Indonesia Perkasa","Construction, Repair & Maintenance Services"
"QSI Recruitment","Human Resources & Staffing"
"Piumeno","Not Available"
"APS Resources","Human Resources & Staffing"
"Humana International","Not Available"
"Yongtai Energy","Not Available"
"RPMGlobal","Energy, Mining & Utilities"
"Eramet","Manufacturing"
"indosat","Not Available"
"PT. Bintang Mining Indonesia","Not Available"
"PT Indobagus Investama Group","Not Available"
"Mitra Jaya Group","Not Available"
"AMK","Not Available"
"Page Executive","Human Resources & Staffing"
"Robert Walters","Human Resources & Staffing"
"RGF HR Agent","Human Resources & Staffing"
"Michael Page","Human Resources & Staffing"
"TikTok","Media & Communication"
"Monroe Consulting Group","Human Resources & Staffing"
"RPMGlobal Holdings Limited","Not Available"
"Ember","Retail & Wholesale"
"Easy Skill","Human Resources & Staffing"
"NES FIRCROFT","Human Resources & Staffing"
"PT. Berkat Anugerah Sejahtera","Not Available"
"Talent Hunts","Not Available"
"PT Mitra Abadi Mahakam","Not Available"
"Amartha","Not Available"
"Fugro","Construction, Repair & Maintenance Services"
"PT Buana Global Mandiri","Not Available"
"Slanik Waterpark Lampung","Not Available"
"PT Elsadai Servo Cons","Not Available"
"Madhava Group","Not Available"
"PT Prima Tossa Perkasa","Not Available"
"Summarecon","Not Available"
"Soiltech Indonesia","Not Available"
"PT. Dwibina Prima","Not Available"
"PT. Siam Industrial Minerals","Not Available"
"PT Jola Mitra Utama","Information Technology Support Services"
"CDM Smith","Business Consulting"
"Egis","Transportation & Logistics"
"Aspen Technology","Not Available"
"RKM Consulting","Not Available"
"Baker Hughes","Energy, Mining & Utilities"
"Varia Usaha Fabrikasi","Not Available"
"CIPUTRA GROUP","Not Available"
"PT Sembilan Tiga Perdana","Not Available"
"PT Mifa Bersaudara","Not Available"
"Accenture","Information Technology"
"QAFCO","Not Available"
"Andalas Petroleum Services","Not Available"
"Worley","Energy, Mining & Utilities"
"ADARO MINERALS","Not Available"
"PT Kaja Sarana Inovasi (Pro Worker)","HR Consulting"
"Microsoft","Information Technology"
"Rexroth","Transportation Equipment Manufacturing"
"Vitol","Energy, Mining & Utilities"
"28Grup","Not Available"
"Alodokter","Not Available"
"PT Bumi Natura Mineral Teknologi","Not Available"
"PT Inovasi Kelautan Nusantara (OXE Indonesia)","General Repair & Maintenance"
"FLSmidth, Inc.","Machinery Manufacturing"
"PT Tektonindo Anugerah Mandiri","Energy & Utilities"
"Focas","Not Available"
"PT Anaga Jaya Sarana","Car & Truck Rental"
"MIneral Trading Company","Not Available"
"Krakatau Baja Konstruksi","Not Available"
"PT Guojie Mining Group","Consumer Electronics & Appliances Stores"
"PT.Resty Nur","Catering & Food Service Contractors"
"Geoindo","Not Available"
"RecruitFirst","HR Consulting"
"PT. Karya Nusa Bersama","Mining & Metals"
"PT Alvindo Catur Sentosa","Energy & Utilities"
"PT. Dina Niaga Karya","General Repair & Maintenance"
"Weir Group","Manufacturing"
"Bechtel","Construction, Repair & Maintenance Services"
"PT Balikpapan Ready Mix Pile","Not Available"
"PERSOLKELLY Indonesia","Staffing & Subcontracting"
"EP Hunter","Staffing & Subcontracting"
"PT Sigma Solusi Servis","HR Consulting"
"Petrofac","Energy, Mining & Utilities"
"OY! Indonesia","Not Available"
"PT Arsed Indonesia","Not Available"
"Shell","Energy, Mining & Utilities"
"Caterpillar","Construction, Repair & Maintenance Services"
"PT. Sigma Solusi Servis","Telecommunications"
"Mekari (PT. Mid Solusi Nusantara)","Not Available"
"McDermott","Construction, Repair & Maintenance Services"
"PT Sari Kresna Kimia","Not Available"
"Ekatama Group","Construction"
"ABB","Energy & Utilities"
"PT. GOTION INDONESIA MATERIALS","Not Available"
"Marunda Grahamineral","Not Available"
"Daemeter Consulting","Not Available"
"Profile Middle East","Management & Consulting"
"Ecolab","Manufacturing"
"PT RGF Human Resources Agent Indonesia","Not Available"
"Canary Systems Inc.","Energy, Mining & Utilities"
"Hatch","Consulting and Business Services"
"Reeracoen Indonesia","Human Resources & Staffing"
"TotalEnergies","Energy, Mining & Utilities"
"DBS Bank","Financial Services"
"PT Grand Motors Indonesia","Shipping & Trucking"
"Halliburton","Energy, Mining & Utilities"
"Synergy Engineering","Chemical Manufacturing"
"Aveva","Information Technology"
"PT Eka Mas Republik","Not Available"
"PT BUMI PANGAN UTAMA (SEKAR BUMI GROUP)","Manufacturing"
"PT Isargas","Not Available"
"Jimbaran Hijau, PT","Real Estate"
"Metso Outotec","Manufacturing"
"EY","Management & Consulting"
"PT. HITACHI SAKTI ENERGY INDONESIA","Not Available"
"Anotech","HR Consulting"
"ADARO GREEN","Not Available"
"Gojek","Information Technology"
"Black & Veatch","Architectural & Engineering Services"
"MSBU","Not Available"
"PT Gotion Indonesia Materials","Not Available"
"Alfa Laval","Manufacturing"
"Skuad","Internet & Web Services"
"World Resources Institute","Nonprofit & NGO"
"HRnetRimbun Indonesia","Not Available"
"DNV","Management & Consulting"
"OLIVERS & PARTNERS","Architectural & Engineering Services"
"GE Power Portfolio","Energy, Mining & Utilities"
"PetroChina International Jabung Ltd.","Not Available"
"JTI - Japan Tobacco International","Manufacturing"
"byOrange","Not Available"
"PT. Group Mitra Indonesia","Not Available"
"Schlumberger","Energy, Mining & Utilities"
"Mainstream Renewable Power","Energy, Mining & Utilities"
"SunRecruit","Not Available"
"DIMENSION BID (M) SDN BHD","Not Available"
"Vopak","Transportation & Logistics"
"WRI Indonesia","Nonprofit & NGO"
"PT Malvindo","Wholesale"
"Palladium Group, Inc.","National Agencies"
"SMART Agribusiness and Food","Agriculture"
"Aluminium Bahrain B.S.C.","Not Available"
"PT MALVINDO","Wholesale"
"PwC","Financial Services"
"PT Atlas Copco Indonesia","Manufacturing"
"EDGEWATER","Hotels & Travel Accommodation"
"SMK Migas BMR","Not Available"
"PT Abdi Patra Sejati","Energy & Utilities"
"Apexindo Pratama Duta","Not Available"
"PT. Bayu Maritim Berkah","Not Available"
"Abhitech Matra Indah","Not Available"
"PT Control Systems Arena Para Nusa","Not Available"
"PT. Andromeda Rekayasa Fluida","Energy & Utilities"
"PT Supraco Indonesia (SPC)","Not Available"
"RoadsHill Data Analyst (PT. RDA Teknologi...","Not Available"
"PT Artha Demo Engineering Consultant","Not Available"
"RGE","Wood & Paper Manufacturing"
"ELITE ASIA (SG) PTE. LTD.","Telecommunications"
"PT Petra Anugerah Sejahtera","Not Available"
"PT Rivindi Artha Mandiri","Not Available"
"PT. CARSURIN","Mining & Metals"
"PT Central Hydraulic Indonesia","Not Available"
"Cermati.com","Information Technology"
"Bureau Veritas","Management & Consulting"
"PT Panthera Biru Indonesia","Not Available"
"Boart Longyear","Mining & Metals"
"Rolls-Royce","Aerospace & Defense"
"Boston Consulting Group","Management & Consulting"
"PT Jasa Guna Cemerlang","Not Available"
"WeNetwork Asia","Not Available"
"Aden Services","Not Available"
"Revalue Nature","Not Available"
"PT. Rivindi Artha Mandiri","Not Available"
"Algoritma","Not Available"
"MyRepublic","Telecommunications"
"Nawakara Group","Not Available"
"PT. LIENETIC JAYA","Energy & Utilities"
"Compas.co.id","Not Available"
"ENI","Energy, Mining & Utilities"
"GE Healthcare","Healthcare"
"PT. MSBU Konsultan Indonesia","Information Technology Support Services"
"Informa Markets","Management & Consulting"
"ADHYA JAYA MAKAYASA a part of Trinusa Network","Energy, Mining & Utilities"
"PageExecutive","Human Resources & Staffing"
"Mubadala Energy","Not Available"
"Prohoc","Not Available"
"PT REKA ELANG INOVASI","Not Available"
"Star Energy (Kakap) LTD","Not Available"
"Weatherford","Energy, Mining & Utilities"
"Mitrais","Not Available"
"Orbit Future Academy","Education & Training Services"
"PT Bagas Bumi Persada","Not Available"
"PT. ANUGERAH MEKANIKA SUKSES ABADI","Metal & Mineral Manufacturing"
"PT. Depriwangga Engineering","Not Available"
"PT. INDAH JAYA TEXTILE INDUSTRY","Not Available"
"BowerGroupAsia","Management & Consulting"
"FrieslandCampina","Food & Beverage Manufacturing"
"PT Harmoni Energi Persada","Not Available"
"PT. eGenkit Teknik Solusi","Information Technology Support Services"
"Job Vortex","Not Available"
"Merah Cipta Media","Not Available"
"Schneider Electric","Energy, Mining & Utilities"
"Kompas Gramedia","Not Available"
"PT Gaharu Mineral Indonesia","Mining & Metals"
